City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
532,Norton Shores,43.1689,-86.2639,39.38,48,90,17.0,US,2021-12-04 23:07:12
533,Ambilobe,-13.2,49.05,76.05,76,7,3.87,MG,2021-12-04 23:07:12
534,Padampur,29.6833,73.6167,62.19,35,2,3.6,IN,2021-12-04 23:07:13
535,Kharitonovo,61.4009,47.4978,4.5,94,100,8.3,RU,2021-12-04 23:07:13
536,Digha,21.6833,87.55,66.45,94,100,13.71,IN,2021-12-04 23:07:13
537,Gubkinskiy,64.434,76.5026,-16.87,99,99,6.2,RU,2021-12-04 23:07:14
538,Buin,-33.7333,-70.75,88.12,23,0,7.54,CL,2021-12-04 23:07:14
539,Auki,-8.7676,160.7034,85.46,67,67,4.83,SB,2021-12-04 23:07:14
540,Marawi,7.9986,124.2928,68.65,96,86,3.83,PH,2021-12-04 23:07:14
541,Fort Walton Beach,30.4058,-86.6188,69.04,90,1,1.99,US,2021-12-04 23:06:00
542,Dumas,35.8656,-101.9732,58.42,35,1,0.0,US,2021-12-04 23:07:15
543,Zhangye,38.9342,100.4517,29.1,35,6,3.62,CN,2021-12-04 23:07:15
544,Touros,-5.1989,-35.4608,81.5,80,68,14.88,BR,2021-12-04 23:07:15
545,Phangnga,8.4509,98.5298,77.04,84,90,5.55,TH,2021-12-04 23:07:16
546,Luderitz,-26.6481,15.1594,60.39,89,6,4.79,NA,2021-12-04 23:07:16
547,Soyo,-6.1349,12.3689,78.28,88,100,6.2,AO,2021-12-04 23:02:34
548,Assiniboia,49.6334,-105.9845,25.36,90,100,13.47,CA,2021-12-04 23:07:16
549,Oyon,-10.6681,-76.7731,50.25,87,100,3.83,PE,2021-12-04 23:07:17
550,Turukhansk,65.8167,87.9833,-29.94,100,100,3.06,RU,2021-12-04 23:07:17
551,Ginir,7.1333,40.7,55.18,60,2,3.38,ET,2021-12-04 23:07:18
552,Puerto Madero,14.7208,-92.4215,86.2,66,20,5.75,MX,2021-12-04 23:08:18
553,Keetmanshoop,-26.5833,18.1333,57.25,61,0,15.7,NA,2021-12-04 23:08:18
554,Tacana,15.2333,-92.0833,63.5,85,78,3.47,GT,2021-12-04 23:08:19
555,Ugoofaaru,5.6667,73.0,81.81,77,31,11.52,MV,2021-12-04 23:08:19
556,Grenada,37.1882,-3.6067,49.46,86,90,1.14,ES,2021-12-04 23:08:19
