City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
55,Wajir,KE,1.7471,40.0573,78.75,67,64,12.44,broken clouds
56,Eyl,SO,7.9803,49.8164,74.7,67,38,13.38,scattered clouds
57,Mangan,IN,27.5167,88.5333,59.16,45,36,7.0,scattered clouds
58,Trinidad,BO,-14.8333,-64.9,75.18,94,90,0.0,moderate rain
59,Kalmunai,LK,7.4167,81.8167,76.86,87,8,2.04,clear sky
60,Chokurdakh,RU,70.6333,147.9167,-42.14,99,57,5.82,broken clouds
61,Fortuna,US,40.5982,-124.1573,54.32,91,90,1.01,overcast clouds
62,Nikolskoye,RU,59.7035,30.7861,-0.6,97,8,4.56,clear sky
63,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,20,16.11,few clouds
64,Vardo,NO,70.3705,31.1107,7.0,78,19,22.3,few clouds
65,Chikola,RU,43.1906,43.9209,36.45,58,9,4.52,clear sky
66,Tasiilaq,GL,65.6145,-37.6368,29.86,92,99,24.56,light snow
67,Necochea,AR,-38.5473,-58.7368,63.03,75,0,9.17,clear sky
68,Hilo,US,19.7297,-155.09,74.93,91,90,11.5,heavy intensity rain
69,Qaanaaq,GL,77.484,-69.3632,20.52,81,100,6.4,overcast clouds
70,Busselton,AU,-33.65,115.3333,62.04,67,58,17.4,broken clouds
71,Bredasdorp,ZA,-34.5322,20.0403,59.29,96,100,8.48,light rain
72,Celmira,PA,8.5433,-82.8028,82.58,93,31,2.84,scattered clouds
73,Jamestown,US,42.097,-79.2353,44.33,37,90,13.0,overcast clouds
74,Port-Gentil,GA,-0.7193,8.7815,80.56,94,75,8.05,thunderstorm with light rain
75,Pisco,PE,-13.7,-76.2167,68.05,83,75,16.11,broken clouds
76,Noumea,NC,-22.2763,166.4572,85.98,99,90,5.14,overcast clouds
77,Olinda,BR,-8.0089,-34.8553,82.13,74,40,10.36,scattered clouds
78,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,1,8.05,clear sky
79,Fereydun Kenar,IR,36.6864,52.5225,58.24,53,13,3.58,few clouds
80,Inta,RU,66.0317,60.1659,-1.07,98,99,10.51,overcast clouds
81,Chimbarongo,CL,-34.7,-71.05,88.18,24,0,6.11,clear sky
82,Ayagoz,KZ,47.9714,80.4392,17.17,87,88,1.9,overcast clouds
83,Qujing,CN,25.4833,103.7833,42.15,95,36,2.3,scattered clouds
84,Sisimiut,GL,66.9395,-53.6735,27.18,70,100,29.53,overcast clouds
85,Lebu,CL,-37.6167,-73.65,61.21,74,0,14.38,clear sky
86,Victoria,HK,22.2855,114.1577,64.33,56,34,10.0,scattered clouds
87,Tiksi,RU,71.6872,128.8694,-16.01,95,100,6.11,overcast clouds
88,Bay City,US,43.5945,-83.8889,34.57,93,90,1.99,snow
89,Gobabis,NA,-22.45,18.9667,68.97,14,0,8.75,clear sky
90,Kaya,BF,13.0917,-1.0844,77.0,12,13,8.03,few clouds
91,Sanming,CN,26.2486,117.6186,47.07,94,0,1.25,clear sky
92,Narsaq,GL,60.9167,-46.05,25.02,68,100,21.85,overcast clouds
93,Yellowknife,CA,62.456,-114.3525,-20.58,85,20,2.3,few clouds
94,Lobatse,BW,-25.2167,25.6667,63.72,93,73,3.78,broken clouds
95,Champerico,GT,14.3,-91.9167,90.14,67,3,6.71,clear sky
96,Egvekinot,RU,66.3167,-179.1667,-2.18,82,93,27.42,overcast clouds
97,Saskylakh,RU,71.9167,114.0833,-30.32,98,100,4.5,overcast clouds
98,Guanica,PR,17.9716,-66.908,81.21,82,100,7.0,overcast clouds
99,Sahuaripa,MX,29.05,-109.2333,79.88,14,0,3.6,clear sky
100,Bowen,AU,-20.0167,148.2333,84.42,59,15,15.86,few clouds
101,Soligalich,RU,59.0778,42.2864,-4.49,99,43,2.37,scattered clouds
102,Torbay,CA,47.6666,-52.7314,32.68,77,40,11.5,scattered clouds
103,Vyazma,RU,55.2104,34.2951,17.22,99,100,3.65,overcast clouds
104,Dikson,RU,73.5069,80.5464,-2.0,94,100,9.86,overcast clouds
105,Axim,GH,4.8699,-2.2405,80.37,83,42,8.57,scattered clouds
106,Kodiak,US,57.79,-152.4072,31.51,80,90,0.0,overcast clouds
107,Maniitsoq,GL,65.4167,-52.9,26.24,76,100,32.35,light snow
